fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,sulfur_ratio,quality
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,0.13793103448275862,5
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,0.3695652173913043,4
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,0.5714285714285714,6
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,0.391304347826087,5
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,0.19298245614035087,5
8.8,0.66,0.26,1.7000000000000002,0.074,3.9999999999999982,23.0,0.9971,3.15,0.74,9.833333333333334,0.17391304347826078,5
6.6,0.52,0.04000000000000001,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,0.5333333333333333,6
6.6,0.5,0.04000000000000001,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,0.42857142857142855,6
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,0.25210084033613445,5
7.6,0.51,0.15000000000000002,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,0.4520547945205479,6
10.2,0.42,0.57,3.4,0.07,3.9999999999999982,10.0,0.9971,3.04,0.63,9.6,0.3999999999999998,5
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,0.3148148148148148,5
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,0.1956521739130435,6
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,0.36538461538461536,5
7.7,0.69,0.49,1.7999999999999998,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,0.17857142857142858,5
7.0,0.735,0.04999999999999999,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,0.24074074074074073,5
7.2,0.725,0.04999999999999999,4.65,0.086,3.9999999999999982,11.0,0.9962,3.41,0.39,10.9,0.3636363636363635,5
7.2,0.725,0.04999999999999999,4.65,0.086,3.9999999999999982,11.0,0.9962,3.41,0.39,10.9,0.3636363636363635,5
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,0.4,5
8.0,0.705,0.04999999999999999,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,0.42105263157894735,6
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,0.19148936170212766,5
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,0.2558139534883721,4
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,0.21428571428571427,5
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,0.4666666666666667,6
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,0.15,5
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,0.226890756302521,4
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,0.2,5
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,0.2876712328767123,5
6.3,0.3,0.48,1.7999999999999998,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,0.29508196721311475,6
6.9,0.55,0.15000000000000002,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,0.475,5
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,0.14705882352941177,6
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,0.2903225806451613,5
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,0.272,5
7.0,0.62,0.08000000000000002,1.7999999999999998,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,0.3333333333333333,5
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,0.14705882352941177,6
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,0.2903225806451613,5
5.0,1.02,0.04000000000000001,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,0.4823529411764706,4
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,0.34782608695652173,5
7.6,0.9,0.060000000000000026,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,0.5,5
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,0.37142857142857144,6
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,0.22,6
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,0.37142857142857144,6
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,0.18461538461538463,5
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,0.1388888888888889,5
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,0.18461538461538463,5
7.8,0.41,0.6800000000000002,1.7000000000000002,0.46699999999999997,18.0,69.0,0.9973,3.08,1.31,9.3,0.2608695652173913,5
6.2,0.63,0.31,1.7000000000000002,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,0.234375,5
7.8,0.56,0.19,1.7999999999999998,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,0.2553191489361702,5
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,0.10185185185185185,5
10.1,0.31000000000000005,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,0.4782608695652174,6
7.8,0.56,0.19,1.7999999999999998,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,0.2553191489361702,5
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,0.20967741935483872,6
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,0.275,6
7.3,1.07,0.09,1.7000000000000002,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,0.11235955056179775,5
8.8,0.55,0.04000000000000001,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,0.25,6
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,0.23076923076923078,5
7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,0.20588235294117646,5
7.533333333333333,1.33,0.0,1.7000000000000002,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,0.25,5
8.1,1.33,0.0,1.7999999999999998,0.0819999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,0.25,5
8.0,0.59,0.16,1.7999999999999998,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,0.1875,7
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,0.22388059701492538,5
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.433333333333333,0.63,13.0,0.1717171717171717,5
7.9,1.04,0.04999999999999999,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,0.4482758620689655,6
8.4,0.745,0.10999999999999999,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,0.25396825396825395,5
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,0.28888888888888886,5
8.4,0.745,0.10999999999999999,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,0.25396825396825395,5
5.2,0.34,0.0,1.7999999999999998,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,0.42857142857142855,6
6.3,0.39,0.08000000000000002,1.7000000000000002,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,0.15,5
5.2,0.34,0.0,1.7999999999999998,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,0.42857142857142855,6
8.1,0.67,0.55,1.7999999999999998,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,0.22695035460992907,5
5.8,0.68,0.019999999999999962,1.7999999999999998,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,0.22340425531914893,5
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,0.4,6
7.3,0.33000000000000007,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,0.45454545454545453,6
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,0.463768115942029,4
7.5,0.6,0.03,1.7999999999999998,0.095,25.0,99.0,0.995,3.35,0.54,10.1,0.25252525252525254,5
7.5,0.6,0.03,1.7999999999999998,0.095,25.0,99.0,0.995,3.35,0.54,10.1,0.25252525252525254,5
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,0.21875,5
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,0.2248062015503876,5
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,0.21875,5
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,0.5454545454545454,5
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,0.20930232558139536,6
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,0.35,5
7.6,0.68,0.019999999999999962,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,0.45,4
7.8,0.53,0.04000000000000001,1.7000000000000002,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,0.5483870967741935,6
7.4,0.6,0.26,7.299999999999999,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,0.2975206611570248,5
7.3,0.59,0.26,7.199999999999999,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,0.2892561983471074,5
7.8,0.63,0.48,1.7000000000000002,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,0.14583333333333334,5
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,0.1782178217821782,5
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,0.40476190476190477,4
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,0.25,6
7.9,0.885,0.03,1.7999999999999998,0.0579999999999999,3.9999999999999982,8.0,0.9972,3.36,0.33,9.1,0.4999999999999998,4
8.0,0.42,0.22666666666666666,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,0.3333333333333333,6
7.4,0.62,0.04999999999999999,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,0.5714285714285714,6
6.9,0.5,0.04000000000000001,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,0.3877551020408163,5
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,0.2,5
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,0.21052631578947367,6
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,0.35,5
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,0.23809523809523808,5
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,0.23809523809523808,5
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,0.20909090909090908,5
7.2,0.73,0.019999999999999962,2.5,0.076,16.666666666666668,42.0,0.9972,3.44,0.52,9.3,0.39682539682539686,5
6.8,0.61,0.2,1.7999999999999998,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,0.16923076923076924,5
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,0.12903225806451613,6
8.9,0.31000000000000005,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,0.3058823529411765,5
7.4,0.39,0.48,2.0,0.0819999999999999,14.0,67.0,0.9972,3.34,0.55,9.2,0.208955223880597,5
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,0.1048951048951049,5
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,0.16535433070866143,5
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,0.42857142857142855,6
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,0.25,5
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,0.25,5
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,0.2727272727272727,5
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,0.4444444444444444,6
6.9,1.09,0.060000000000000026,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,0.3870967741935484,4
9.6,0.32,0.47,1.4,0.0559999999999999,9.0,24.0,0.99695,3.22,0.82,10.3,0.375,7
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,0.3783783783783784,6
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,0.32142857142857145,7
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,0.32142857142857145,7
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,0.18947368421052632,5
9.7,0.53,0.6,2.0,0.03900000000000001,5.0,19.0,0.99585,3.3,0.86,12.4,0.2631578947368421,6
8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,0.16129032258064516,6
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,0.4307692307692308,5
7.8,0.735,0.08000000000000002,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,0.24390243902439024,6
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,0.21487603305785125,5
8.7,0.625,0.16,2.0,0.1009999999999999,13.0,49.0,0.9962,3.14,0.57,11.0,0.2653061224489796,5
8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,0.2682926829268293,5
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,0.22727272727272727,5
7.8,0.34,0.37,2.0,0.0819999999999999,24.0,58.0,0.9964,3.34,0.59,9.4,0.41379310344827586,6
7.4,0.53,0.26,2.0,0.1009999999999999,16.0,72.0,0.9957,3.15,0.57,9.4,0.2222222222222222,5
6.8,0.61,0.04000000000000001,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,0.5,5
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,0.2857142857142857,6
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,0.4603174603174603,6
8.9,0.59,0.5,2.0,0.33699999999999997,27.0,81.0,0.9964,3.04,1.6100000000000003,9.5,0.3333333333333333,6
5.2,0.48,0.04000000000000001,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,12.2,0.1792452830188679,7
8.0,0.38,0.060000000000000026,1.7999999999999998,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,0.24489795918367346,6
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6,0.3103448275862069,6
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,0.1891891891891892,6
7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,0.99675,3.37,0.58,9.0,0.3684210526315789,6
8.9,0.635,0.37,1.7000000000000002,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,0.08064516129032258,5
12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.99925,3.14,0.71,10.9,0.25,6
7.7,0.58,0.1,1.7999999999999998,0.102,28.0,109.0,0.99565,3.08,0.49,9.8,0.25688073394495414,6
15.0,0.20999999999999996,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,0.4166666666666667,7
15.0,0.20999999999999996,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,0.4166666666666667,7
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,0.2608695652173913,6
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,9.5,0.3137254901960784,5
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,0.2608695652173913,6
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,10.0,0.43243243243243246,6
7.1,0.6,0.0,1.7999999999999998,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,0.47058823529411764,6
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,0.23809523809523808,5
7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,9.5,0.09302325581395349,5
8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,9.3,0.14285714285714285,5
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,9.2,0.38461538461538464,5
6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,0.21428571428571427,5
7.7,0.41,0.76,1.7999999999999998,0.611,8.0,45.0,0.9968,3.06,1.26,9.4,0.17777777777777778,5
10.0,0.31000000000000005,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,10.5,0.42424242424242425,7
7.9,0.33000000000000007,0.23,1.7000000000000002,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,0.4,5
7.0,0.975,0.04000000000000001,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,0.1791044776119403,4
8.0,0.52,0.03,1.7000000000000002,0.07,10.0,35.0,0.99575,3.34,0.57,10.0,0.2857142857142857,5
7.9,0.37,0.23,1.7999999999999998,0.077,23.0,49.0,0.9963,3.28,0.67,9.3,0.46938775510204084,5
12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,10.9,0.18518518518518517,5
8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,0.72,9.8,0.4262295081967213,4
7.9,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,12.8,0.40540540540540543,8
6.9,0.54,0.04000000000000001,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,0.25925925925925924,6
11.5,0.18,0.51,4.0,0.104,3.9999999999999982,23.0,0.9996,3.28,0.97,10.1,0.17391304347826078,6
7.9,0.545,0.060000000000000026,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,0.4426229508196721,6
7.9,0.545,0.060000000000000026,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,0.4426229508196721,6
6.9,0.54,0.04000000000000001,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,0.25925925925925924,6
11.5,0.18,0.51,4.0,0.104,3.9999999999999982,23.0,0.9996,3.28,0.97,10.1,0.17391304347826078,6
10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,3.23,0.82,12.6,0.38461538461538464,8
11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,3.12,0.82,9.3,0.3157894736842105,6
7.7,0.27,0.6800000000000002,3.5,0.358,5.0,10.0,0.9972,3.25,1.08,9.9,0.5,7
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,0.4507042253521127,5
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,0.4507042253521127,5
12.0,0.45,0.55,2.0,0.073,25.0,49.0,0.9997,3.1,0.76,10.3,0.5102040816326531,6
7.5,0.4,0.12,3.0,0.092,29.0,53.0,0.9967,3.37,0.7,10.3,0.5471698113207547,6
8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,0.40816326530612246,7
11.6,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,0.95,9.2,0.336734693877551,5
8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,0.40816326530612246,7
10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,10.3,0.375,6
6.9,0.36,0.25,2.4,0.098,5.0,16.0,0.9964,3.41,0.6,10.1,0.3125,6
13.3,0.34,0.52,3.2,0.094,17.0,53.0,1.0014,3.05,0.81,9.5,0.32075471698113206,6
10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,0.18518518518518517,5
10.6,0.83,0.37,2.6,0.086,26.0,70.0,0.9981,3.16,0.52,9.9,0.37142857142857144,5
7.1,0.63,0.060000000000000026,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,9.6,0.27586206896551724,5
7.2,0.65,0.019999999999999962,2.3,0.094,5.0,31.0,0.9993,3.67,0.8,9.7,0.16129032258064516,5
7.5,0.53,0.060000000000000026,2.6,0.086,20.0,44.0,0.9965,3.38,0.5633333333333334,10.7,0.45454545454545453,6
11.1,0.18,0.48,1.5,0.068,7.0,15.0,0.9973,3.22,0.64,10.1,0.4666666666666667,6
8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,0.42857142857142855,5
8.4,0.65,0.6,2.1,0.1119999999999999,12.0,90.0,0.9973,3.2,0.52,9.2,0.13333333333333333,5
10.3,0.41,0.42,2.4,0.213,6.0,14.0,0.9994,3.19,0.62,9.5,0.42857142857142855,6
10.3,0.43,0.44,2.4,0.214,5.0,12.0,0.9994,3.19,0.63,9.5,0.4166666666666667,6
7.9,0.53,0.24,2.0,0.072,15.0,105.0,0.996,3.27,0.54,9.4,0.14285714285714285,6
9.0,0.46,0.31,2.8,0.093,19.0,98.0,0.99815,3.32,0.63,9.5,0.19387755102040816,6
8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.53,9.4,0.2222222222222222,5
7.4,0.36,0.29,2.6,0.087,26.0,72.0,0.99645,3.39,0.68,11.0,0.3611111111111111,5
9.8,0.66,0.39,3.2,0.083,21.0,59.0,0.9989,3.37,0.71,11.5,0.3559322033898305,7
9.6,0.77,0.12,2.9,0.0819999999999999,30.0,74.0,0.99865,3.3,0.64,10.4,0.40540540540540543,6
9.3,0.61,0.26,3.4,0.09,25.0,87.0,0.99975,3.24,0.62,9.7,0.28735632183908044,5
11.6,0.53,0.66,3.65,0.121,6.0,14.0,0.9978,3.05,0.74,11.5,0.42857142857142855,7
10.3,0.44,0.5,4.5,0.107,5.0,13.0,0.998,3.28,0.83,11.5,0.38461538461538464,5
13.4,0.27,0.62,2.6,0.0819999999999999,6.0,21.0,1.0002,3.16,0.67,9.7,0.2857142857142857,6
8.4,0.56,0.08000000000000002,2.1,0.105,16.0,44.0,0.9958,3.13,0.52,11.0,0.36363636363636365,5
7.9,0.65,0.010000000000000009,2.5,0.078,17.0,38.0,0.9963,3.34,0.74,11.7,0.4473684210526316,7
11.9,0.695,0.53,3.4,0.128,7.0,21.0,0.9992,3.17,0.84,12.2,0.3333333333333333,7
8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,3.35,0.7,12.5,0.375,6
7.8,0.43,0.32,2.8,0.08,29.0,58.0,0.9974,3.31,0.64,10.3,0.5,5
12.5,0.28,0.54,2.3,0.0819999999999999,12.0,29.0,0.9997,3.11,1.36,9.8,0.41379310344827586,7
10.9,0.39,0.47,1.7999999999999998,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,0.42857142857142855,6
10.9,0.39,0.47,1.7999999999999998,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,0.42857142857142855,6
11.9,0.57,0.5,2.6,0.0819999999999999,6.0,32.0,1.0006,3.12,0.78,10.7,0.1875,6
13.8,0.49,0.67,3.0,0.093,6.0,15.0,0.9986,3.02,0.93,12.0,0.4,6
9.6,0.56,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92,10.0,0.32608695652173914,6
